,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
172,"Clifton - Block 2, Clifton",45000000.0,4.0,4.0,267,https://www.zameen.com/Homes/Karachi-2-7.html
173,"Clifton - Block 5, Clifton",56600000.0,2.0,2.0,193,https://www.zameen.com/Homes/Karachi-2-7.html
174,"Clifton - Block 4, Clifton",20000000.0,3.0,3.0,200,https://www.zameen.com/Homes/Karachi-2-7.html
175,"Athars Amans Castle, Bahria Town Karachi",6700000.0,2.0,2.0,92,https://www.zameen.com/Homes/Karachi-2-8.html
176,"Theme Park Residency, Bahria Town Karachi",8600000.0,2.0,2.0,113,https://www.zameen.com/Homes/Karachi-2-8.html
177,"Bahria Town Karachi, Karachi",7900000.0,2.0,2.0,111,https://www.zameen.com/Homes/Karachi-2-8.html
178,"DHA Phase 8, DHA Defence",395000000.0,6.0,8.0,1,https://www.zameen.com/Homes/Karachi-2-8.html
179,"Bahria Town - Ali Block, Bahria Town - Precinct 12",15000000.0,3.0,3.0,125,https://www.zameen.com/Homes/Karachi-2-8.html
180,"Bahria Town Karachi, Karachi",82500000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-8.html
181,"Nazimabad 4, Nazimabad",28000000.0,3.0,4.0,233,https://www.zameen.com/Homes/Karachi-2-8.html
182,"Emaar Crescent Bay, DHA Phase 8",71000000.0,3.0,5.0,243,https://www.zameen.com/Homes/Karachi-2-8.html
183,"Clifton, Karachi",58500000.0,3.0,4.0,244,https://www.zameen.com/Homes/Karachi-2-8.html
184,"DHA Phase 8, DHA Defence",51000000.0,4.0,5.0,120,https://www.zameen.com/Homes/Karachi-2-8.html
185,"Askari 5 - Sector J, Askari 5",64200000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-8.html
186,"Askari 5 - Sector J, Askari 5",64100000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-8.html
187,"Gulshan-e-Maymar - Sector W, Gulshan-e-Maymar",55000000.0,6.0,7.0,400,https://www.zameen.com/Homes/Karachi-2-8.html
188,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",20000000.0,4.0,5.0,120,https://www.zameen.com/Homes/Karachi-2-8.html
189,"Gulshan-e-Maymar - Sector T, Gulshan-e-Maymar",37500000.0,6.0,8.0,240,https://www.zameen.com/Homes/Karachi-2-8.html
190,"Nazimabad 3 - Block D, Nazimabad 3",7700000.0,2.0,3.0,120,https://www.zameen.com/Homes/Karachi-2-8.html
191,"Gohar Complex, Liaquat Avenue",8500000.0,2.0,3.0,98,https://www.zameen.com/Homes/Karachi-2-8.html
192,"Clifton - Block 4, Clifton",25000000.0,3.0,3.0,222,https://www.zameen.com/Homes/Karachi-2-8.html
