,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16632,other,20000000.0,3.0,3.0,206
16633,other,35000000.0,4.0,5.0,389
16634,"Saima Arabian Villas, Gadap Town",16399999.999999998,3.0,3.0,160
16635,"Saima Arabian Villas, Gadap Town",14600000.0,3.0,3.0,160
16636,"Saima Arabian Villas, Gadap Town",11900000.0,2.0,2.0,120
16637,"Saima Arabian Villas, Gadap Town",12600000.0,2.0,2.0,120
16638,"Saima Arabian Villas, Gadap Town",16299999.999999998,3.0,3.0,160
16639,"Saima Arabian Villas, Gadap Town",19500000.0,6.0,6.0,160
16640,"Saima Arabian Villas, Gadap Town",32500000.0,6.0,6.0,200
16642,other,22500000.0,4.0,4.0,160
16643,"Defence View Society, Karachi",5600000.0,2.0,2.0,80
16644,other,7500000.0,2.0,2.0,110
16645,"Diamond Residency, Defence View Phase 2",7500000.0,2.0,2.0,80
16646,"Defence View Society, Karachi",11500000.0,3.0,2.0,128
16647,"Defence View Society, Karachi",13500000.0,3.0,3.0,178
16648,"Diamond Residency, Defence View Phase 2",8725000.0,2.0,2.0,128
16649,"Diamond Residency, Defence View Phase 2",5850000.0,2.0,2.0,80
16650,"Bahria Town - Ali Block, Bahria Town - Precinct 12",16700000.0,4.0,4.0,125
16651,"Bahria Town - Precinct 8, Bahria Town Karachi",37000000.0,5.0,5.0,250
16652,other,7150000.0,1.0,1.0,61
16653,other,15000000.0,2.0,2.0,128
16654,other,21500000.0,3.0,3.0,183
16655,other,10000000.0,2.0,2.0,120
16656,"Bahadurabad, Gulshan-e-Iqbal Town",25000000.0,3.0,3.0,150
16658,"DHA Phase 6, DHA Defence",22500000.0,3.0,3.0,178
16659,other,90000000.0,2.0,3.0,149
16660,"Emaar Pearl Towers, Emaar Crescent Bay",55000000.0,2.0,3.0,182
16661,"Civil Lines, Karachi",36000000.0,3.0,3.0,183
16662,"Civil Lines, Karachi",76500000.0,4.0,4.0,289
16663,"Clifton - Block 9, Clifton",41000000.0,3.0,3.0,200
16664,"Clifton - Block 9, Clifton",40000000.0,3.0,3.0,200
16665,"Frere Town, Karachi",41500000.0,3.0,3.0,200
